dfa_name,initial_states,alphabet_size,accept_state_count,algorithm,minimized_states,equivalence_group_count,state_reduction_count,state_reduction_percentage,avg_execution_time_seconds,min_execution_time_seconds,max_execution_time_seconds,same_as_moore,equivalence_groups,repetitions
DFA_09_Larger_Redundant_10_State,10,2,4,Divide and Conquer,5,5,5,50.0,0.00015402820000645078,0.00014962500000592627,0.00016726400002653463,True,"{t0} | {t1, t2} | {t3, t4} | {t5} | {t6, t7, t8, t9}",5
DFA_10_Binary_Parity_Expanded,8,2,4,Moore,2,2,6,75.0,2.741619999824252e-05,2.064399996015709e-05,4.0079000029891176e-05,True,"{e0, e2, e4, e6} | {e1, e3, e5, e7}",5
DFA_10_Binary_Parity_Expanded,8,2,4,Dynamic Programming,2,2,6,75.0,7.55160000039723e-05,7.247100000995488e-05,8.171000001766515e-05,True,"{e0, e2, e4, e6} | {e1, e3, e5, e7}",5
DFA_10_Binary_Parity_Expanded,8,2,4,Divide and Conquer,2,2,6,75.0,0.00011331600001085462,9.865099997341531e-05,0.00013133000004472706,True,"{e0, e2, e4, e6} | {e1, e3, e5, e7}",5
DFA_11_Three_Class_12_State,12,2,4,Moore,2,2,10,83.33333333333334,3.9504999995187974e-05,3.0382000034023804e-05,5.1480999957220774e-05,True,"{u0, u1, u2, u3, u4, u5, u6, u7} | {u10, u11, u8, u9}",5
DFA_11_Three_Class_12_State,12,2,4,Dynamic Programming,2,2,10,83.33333333333334,0.00019730939999362818,0.00016932400001223868,0.00029120499999635285,True,"{u0, u1, u2, u3, u4, u5, u6, u7} | {u10, u11, u8, u9}",5
DFA_11_Three_Class_12_State,12,2,4,Divide and Conquer,2,2,10,83.33333333333334,0.00018958079999720212,0.00017603200001303776,0.0002064340000060838,True,"{u0, u1, u2, u3, u4, u5, u6, u7} | {u10, u11, u8, u9}",5
DFA_12_Mixed_14_State,14,2,6,Moore,6,6,8,57.14285714285714,0.00013174200000776182,0.00012073300001702592,0.00015781700000161436,True,"{v0} | {v1, v2} | {v10, v11, v12, v13, v5, v6} | {v3, v4} | {v7} | {v8, v9}",5
DFA_12_Mixed_14_State,14,2,6,Dynamic Programming,6,6,8,57.14285714285714,0.0004692634000093676,0.0004633579999904214,0.00047284300001138035,True,"{v0} | {v1, v2} | {v10, v11, v12, v13, v5, v6} | {v3, v4} | {v7} | {v8, v9}",5
DFA_12_Mixed_14_State,14,2,6,Divide and Conquer,6,6,8,57.14285714285714,0.000262836599995353,0.0002464519999989534,0.0002785579999908805,True,"{v0} | {v1, v2} | {v10, v11, v12, v13, v5, v6} | {v3, v4} | {v7} | {v8, v9}",5
DFA_13_Tiny_Minimal_2_State,2,2,1,Moore,2,2,0,0.0,1.682759999539485e-05,1.1753000023873028e-05,2.6133000005756912e-05,True,{z0} | {z1},5
DFA_13_Tiny_Minimal_2_State,2,2,1,Dynamic Programming,2,2,0,0.0,1.115040000740919e-05,9.263999970698933e-06,1.4881000026889524e-05,True,{z0} | {z1},5
DFA_13_Tiny_Minimal_2_State,2,2,1,Divide and Conquer,2,2,0,0.0,1.1171200003445848e-05,9.911999995892984e-06,1.374599997916448e-05,True,{z0} | {z1},5
DFA_14_Large_Two_Block_20_State,20,2,10,Moore,2,2,18,90.0,5.107220000581947e-05,4.1244999977152474e-05,7.921200000282624e-05,True,"{fb0, fb1, fb2, fb3, fb4, fb5, fb6, fb7, fb8, fb9} | {nb0, nb1, nb2, nb3, nb4, nb5, nb6, nb7, nb8, nb9}",5
DFA_14_Large_Two_Block_20_State,20,2,10,Dynamic Programming,2,2,18,90.0,0.00048180499999261883,0.000439171999971677,0.0005726320000007945,True,"{fb0, fb1, fb2, fb3, fb4, fb5, fb6, fb7, fb8, fb9} | {nb0, nb1, nb2, nb3, nb4, nb5, nb6, nb7, nb8, nb9}",5
DFA_14_Large_Two_Block_20_State,20,2,10,Divide and Conquer,2,2,18,90.0,0.0003494364000175665,0.00031965200003014616,0.000426293000032274,True,"{fb0, fb1, fb2, fb3, fb4, fb5, fb6, fb7, fb8, fb9} | {nb0, nb1, nb2, nb3, nb4, nb5, nb6, nb7, nb8, nb9}",5
DFA_15_Long_Chain_20_State,20,2,1,Moore,20,20,0,0.0,0.0006866022000167505,0.0006526189999931375,0.0007439950000502904,True,{ch0} | {ch1} | {ch10} | {ch11} | {ch12} | {ch13} | {ch14} | {ch15} | {ch16} | {ch17} | {ch18} | {ch19} | {ch2} | {ch3} | {ch4} | {ch5} | {ch6} | {ch7} | {ch8} | {ch9},5
DFA_15_Long_Chain_20_State,20,2,1,Dynamic Programming,20,20,0,0.0,0.0027833677999979044,0.0027124539999476838,0.0028425560000187033,True,{ch0} | {ch1} | {ch10} | {ch11} | {ch12} | {ch13} | {ch14} | {ch15} | {ch16} | {ch17} | {ch18} | {ch19} | {ch2} | {ch3} | {ch4} | {ch5} | {ch6} | {ch7} | {ch8} | {ch9},5
DFA_15_Long_Chain_20_State,20,2,1,Divide and Conquer,20,20,0,0.0,0.0008316287999946326,0.0008152290000111861,0.0008650780000039049,True,{ch0} | {ch1} | {ch10} | {ch11} | {ch12} | {ch13} | {ch14} | {ch15} | {ch16} | {ch17} | {ch18} | {ch19} | {ch2} | {ch3} | {ch4} | {ch5} | {ch6} | {ch7} | {ch8} | {ch9},5
DFA_16_Large_Two_Block_50_State,50,2,25,Moore,2,2,48,96.0,0.00011368119999133341,9.658199996920303e-05,0.0001564190000067356,True,"{f50_0, f50_1, f50_10, f50_11, f50_12, f50_13, f50_14, f50_15, f50_16, f50_17, f50_18, f50_19, f50_2, f50_20, f50_21, f50_22, f50_23, f50_24, f50_3, f50_4, f50_5, f50_6, f50_7, f50_8, f50_9} | {n50_0, n50_1, n50_10, n50_11, n50_12, n50_13, n50_14, n50_15, n50_16, n50_17, n50_18, n50_19, n50_2, n50_20, n50_21, n50_22, n50_23, n50_24, n50_3, n50_4, n50_5, n50_6, n50_7, n50_8, n50_9}",5
DFA_16_Large_Two_Block_50_State,50,2,25,Dynamic Programming,2,2,48,96.0,0.002888356799996927,0.0027656920000254104,0.0031987140000069303,True,"{f50_0, f50_1, f50_10, f50_11, f50_12, f50_13, f50_14, f50_15, f50_16, f50_17, f50_18, f50_19, f50_2, f50_20, f50_21, f50_22, f50_23, f50_24, f50_3, f50_4, f50_5, f50_6, f50_7, f50_8, f50_9} | {n50_0, n50_1, n50_10, n50_11, n50_12, n50_13, n50_14, n50_15, n50_16, n50_17, n50_18, n50_19, n50_2, n50_20, n50_21, n50_22, n50_23, n50_24, n50_3, n50_4, n50_5, n50_6, n50_7, n50_8, n50_9}",5
DFA_16_Large_Two_Block_50_State,50,2,25,Divide and Conquer,2,2,48,96.0,0.0014654788000143526,0.0014232280000214814,0.0015357610000137356,True,"{f50_0, f50_1, f50_10, f50_11, f50_12, f50_13, f50_14, f50_15, f50_16, f50_17, f50_18, f50_19, f50_2, f50_20, f50_21, f50_22, f50_23, f50_24, f50_3, f50_4, f50_5, f50_6, f50_7, f50_8, f50_9} | {n50_0, n50_1, n50_10, n50_11, n50_12, n50_13, n50_14, n50_15, n50_16, n50_17, n50_18, n50_19, n50_2, n50_20, n50_21, n50_22, n50_23, n50_24, n50_3, n50_4, n50_5, n50_6, n50_7, n50_8, n50_9}",5
